free_course,school,difficulty,skills,description,full_url,nd_url,nd_name
Software Debugging,School of Programming & Development,intermediate,"Debugging, Python, Automated Debugging",In this course you will learn how to debug programs systematically using scientific methods and build several automated debugging tools in Python.Learn More,https://www.udacity.com/course/software-debugging--cs259,https://www.udacity.com/course/intro-to-programming-nanodegree--nd000,Introduction to Programming
Deploying a Hadoop Cluster,School of Programming & Development,intermediate,"Data Analysis, Hadoop, MapReduce",Deploy your own Hadoop cluster to crunch some big data!Learn More,https://www.udacity.com/course/deploying-a-hadoop-cluster--ud1000,https://www.udacity.com/course/intro-to-programming-nanodegree--nd000,Introduction to Programming
Server-Side Swift,School of Programming & Development,intermediate,"Swift Package Manager, MySQL, Docker, Terraform, Microservices","In this course, built in collaboration with IBM and Hashicorp, you'll learn how to use Swift as a server-side language for building end-to-end applications.Learn More",https://www.udacity.com/course/server-side-swift--ud1031,https://www.udacity.com/course/intro-to-programming-nanodegree--nd000,Introduction to Programming
Programming Languages,School of Programming & Development,intermediate,"Introduciton to Programming Languages, Validate and Process Strings, HTML and JavaScript, Build your own web browser","This course is an introduction to the fundamentals of programming languages. Concepts include how to specify and process valid strings, sentences and program structures.Learn More",https://www.udacity.com/course/programming-languages--cs262,https://www.udacity.com/course/intro-to-programming-nanodegree--nd000,Introduction to Programming
Networking for Web Developers,School of Programming & Development,beginner,"HTTP, Domain Name System, Ping, TCP/IP stack, IP addressing",You've used the Internet. Now find out more about how it works.Learn More,https://www.udacity.com/course/networking-for-web-developers--ud256,https://www.udacity.com/course/intro-to-programming-nanodegree--nd000,Introduction to Programming
Database Systems Concepts & Design,School of Autonomous Systems,intermediate,"Database Management Systems, Relational Algebra, Sequential Query Language, Data Indexing, SQL Injection",This course presents an example of applying a database application development methodology to a major real-world project.Learn More,https://www.udacity.com/course/database-systems-concepts-design--ud150,https://www.udacity.com/course/flying-car-nanodegree--nd787,Flying Car and Autonomous Flight Engineer
Intro to Physics,School of Programming & Development,beginner,"Kinematics, Dynamics, Trigonometry, Periodic Motion, Electricity","Go to the places where big physics discoveries were made in the past and make them yourself. You’ll visit Italy, the Netherlands, and the UK as you learn basic physics.Learn More",https://www.udacity.com/course/intro-to-physics--ph100,https://www.udacity.com/course/intro-to-programming-nanodegree--nd000,Introduction to Programming
Intro to Relational Databases,School of Programming & Development,intermediate,"Rational databases, SQL, Python API, Python DB-API, Select and insert statements",Relational databases are a powerful tool used throughout the industry. Learn the basics of SQL and how to connect your Python code to a relational database.Learn More,https://www.udacity.com/course/intro-to-relational-databases--ud197,https://www.udacity.com/course/intro-to-programming-nanodegree--nd000,Introduction to Programming
ES6 - JavaScript Improved,School of Programming & Development,advanced,"JavaScript, ES6, Syntax, Functions",Learn about the changes made to the JavaScript programming language in ECMAScript 6 and how to use these new improvements to write better cleaner code.Learn More,https://www.udacity.com/course/es6-javascript-improved--ud356,https://www.udacity.com/course/intro-to-programming-nanodegree--nd000,Introduction to Programming
Mobile Design and Usability for iOS,School of Programming & Development,intermediate,"Product Design, Prototyping","In this course, taught in collaboration with Facebook, you'll learn how to design an intuitive, user-centered mobile app, from product conception to release.Learn More",https://www.udacity.com/course/mobile-design-and-usability-for-ios--ud1034,https://www.udacity.com/course/intro-to-programming-nanodegree--nd000,Introduction to Programming
Intro to AJAX,School of Programming & Development,intermediate,"Asynchronous requests with JavaScript, Data APIs, Web Applications, Site Customization","Learn how to perform asynchronous requests as you build a web app with data from Google Street View, the New York Times and Wikipedia!Learn More",https://www.udacity.com/course/intro-to-ajax--ud110,https://www.udacity.com/course/intro-to-programming-nanodegree--nd000,Introduction to Programming
Intro to Algorithms,School of Programming & Development,intermediate,"Algorithms, Social Networks, Graph Algorithms","This class will give you an introduction to the design and analysis of algorithms, enabling you to analyze networks and discover how individuals are connected.Learn More",https://www.udacity.com/course/intro-to-algorithms--cs215,https://www.udacity.com/course/intro-to-programming-nanodegree--nd000,Introduction to Programming
The MVC Pattern in Ruby,School of Programming & Development,intermediate,"Ruby, Sinatra, MVC Design Pattern, Writing organized code","In this course you’ll learn how to organize your code, and why that’s important. You’ll be using the MVC Design Pattern in the web application micro-framework Sinatra.Learn More",https://www.udacity.com/course/the-mvc-pattern-in-ruby--ud270,https://www.udacity.com/course/intro-to-programming-nanodegree--nd000,Introduction to Programming
WeChat Mini Program Development,School of Programming & Development,beginner,WeChat,"Developed by Tencent and Udacity, this course will teach you to build your first Mini Program.Learn More",https://www.udacity.com/course/wechat-mini-programs--ud667,https://www.udacity.com/course/front-end-web-developer-nanodegree--nd0011,Front End Web Developer
Asynchronous JavaScript Requests,School of Programming & Development,intermediate,"Asynchronous Data Retrieval, Ajax with XHR, Ajax with jQuery, Ajax with Fetch",Learn how to asynchronously request data in your web applications with Ajax.Learn More,https://www.udacity.com/course/asynchronous-javascript-requests--ud109,https://www.udacity.com/course/intro-to-programming-nanodegree--nd000,Introduction to Programming
Embedded Systems,School of Programming & Development,intermediate,"VLIW Architecture, Compilers for Embedded Systems, Differential Register Allocation, Network Processors, Multithreaded Processing","This course takes a holistic view of the embedded system stack focusing on processor architectures, instruction sets, and the associated advanced compiler optimizations.Learn More",https://www.udacity.com/course/embedded-systems--ud169,https://www.udacity.com/course/flying-car-nanodegree--nd787,Flying Car and Autonomous Flight Engineer
High Performance Computing,School of Programming & Development,advanced,"Shared Memory Models, Parallel Algorithms, Distributed Memory Models, Message Passing Interfaces, Hierarchical Memory Models","This course will give you solid foundations for developing, analyzing, and implementing parallel and locality-efficient algorithms.  Offered at Georgia Tech as CS6220Learn More",https://www.udacity.com/course/high-performance-computing--ud281,https://www.udacity.com/course/flying-car-nanodegree--nd787,Flying Car and Autonomous Flight Engineer
HTTP & Web Servers,School of Programming & Development,intermediate,"HTTP, Python, Deploying services",HTTP is the fundamental protocol of the Web. Explore how it works using Python code and command-line tools.Learn More,https://www.udacity.com/course/http-web-servers--ud303,https://www.udacity.com/course/intro-to-programming-nanodegree--nd000,Introduction to Programming
Advanced Android with Kotlin,School of Programming & Development,intermediate,"Kotlin, Android",Develop Feature-Rich Android Apps with the Kotlin Programming Language.Learn More,https://www.udacity.com/course/advanced-android-with-kotlin--ud940,https://www.udacity.com/course/android-kotlin-developer-nanodegree--nd940,Android Kotlin Developer
"Computability, Complexity & Algorithms",School of Programming & Development,advanced,Georgia Institute of Technology,Learn tools and techniques that will help you recognize when problems you encounter are intractable and when there an efficient solution.Learn More,https://www.udacity.com/course/computability-complexity-algorithms--ud061,https://www.udacity.com/course/machine-learning-engineer-nanodegree--nd009t,Machine Learning Engineer
Advanced Operating Systems,School of Programming & Development,advanced,"Operating System Kernels, Virtualization, Distributed Systems, Cloud Computing, Real-Time Operating Systems",Learn More,https://www.udacity.com/course/advanced-operating-systems--ud189,https://www.udacity.com/course/android-kotlin-developer-nanodegree--nd940,Android Kotlin Developer
Passwordless Login Solutions for iOS,School of Programming & Development,intermediate,"Account Kit, Facebook SDK, Graph API","In this course you'll implement Account Kit and Facebook Login side by side in a sample app, test our login flow on a series of common use cases, and wrap things up with an introduction to Facebook’s Graph API.Learn More",https://www.udacity.com/course/passwordless-login-solutions-for-ios--ud1028,https://www.udacity.com/course/intro-to-programming-nanodegree--nd000,Introduction to Programming
Version Control with Git,School of Programming & Development,beginner,"Git, Version Control, Creating a Git repo, Editing commits","Learn how to use Git, a popular Version Control System and essential tool for any developer.Learn More",https://www.udacity.com/course/version-control-with-git--ud123,https://www.udacity.com/course/front-end-web-developer-nanodegree--nd0011,Front End Web Developer
Firebase in a Weekend: iOS,School of Programming & Development,intermediate,Android Development,This course will teach you when and why to choose Firebase as a backend for your iOS application.Learn More,https://www.udacity.com/course/firebase-in-a-weekend-by-google-ios--ud0351,https://www.udacity.com/course/intro-to-programming-nanodegree--nd000,Introduction to Programming
Intro to Point & Click App Development,School of Programming & Development,beginner,"Salesforce App Development, Schema Building, Data Modeling",In this short class you'll build powerful apps without writing code. Great if you're an aspiring developer or someone who wants to learn what programmers do.Learn More,https://www.udacity.com/course/intro-to-point-click-app-development--ud162,https://www.udacity.com/course/intro-to-programming-nanodegree--nd000,Introduction to Programming
Deploying Applications with Heroku,School of Programming & Development,intermediate,"App Deployment, Heroku",Deploy your first web application using the Heroku platform and learn about the underlying mechanics of web hosting.Learn More,https://www.udacity.com/course/deploying-applications-with-heroku--ud272,https://www.udacity.com/course/intro-to-programming-nanodegree--nd000,Introduction to Programming
Applied Cryptography,School of Programming & Development,advanced,"Cryptography, Ciphers, Encryption","Cryptography is present in everyday life, from paying with a credit card to using the telephone.  Learn all about making and breaking puzzles in computing.Learn More",https://www.udacity.com/course/applied-cryptography--cs387,https://www.udacity.com/course/intro-to-programming-nanodegree--nd000,Introduction to Programming
Java Programming Basics,School of Programming & Development,beginner,"Java Programming, Java Syntax, Java Functions, Loops","Take your first steps towards becoming a Java developer! Learn Java syntax and create conditional statements, loops, and functions.Learn More",https://www.udacity.com/course/java-programming-basics--ud282,https://www.udacity.com/course/android-basics-nanodegree-by-google--nd803,Android Basics
C++ For Programmers,School of Programming & Development,intermediate,"Pointers and Arrays, Control Flow, Object Oriented Programming, C++ Templates, C++ Standard Library","This course teaches C++ to students already familiar with a programming language. Students will learn how to use header files, control flow, functions, classes.Learn More",https://www.udacity.com/course/c-for-programmers--ud210,https://www.udacity.com/course/intro-to-programming-nanodegree--nd000,Introduction to Programming
Intro to Backend,School of Programming & Development,intermediate,"User Input, Producing templated output, Databases and data stores, Secure user account systems",Learn to build a multiuser blog with Google App Engine that permits users to sign inLearn More,https://www.udacity.com/course/intro-to-backend--ud171,https://www.udacity.com/course/intro-to-programming-nanodegree--nd000,Introduction to Programming
Network Security,School of Programming & Development,"",Georgia Institute of Technology,Learn More,https://www.udacity.com/course/network-security--ud199,https://www.udacity.com/course/intro-to-programming-nanodegree--nd000,Introduction to Programming
JavaScript and the DOM,School of Programming & Development,intermediate,"",Learn More,https://www.udacity.com/course/javascript-and-the-dom--ud117,https://www.udacity.com/course/intro-to-programming-nanodegree--nd000,Introduction to Programming
Firebase Analytics: Android,School of Programming & Development,intermediate,"Android Development, Firebase, Analytics","Learn how to grow an app's user base using Firebase Analytics, a free and unlimited analytics solutionLearn More",https://www.udacity.com/course/firebase-analytics-android--ud354,https://www.udacity.com/course/android-kotlin-developer-nanodegree--nd940,Android Kotlin Developer
Configuring Linux Web Servers,School of Programming & Development,"","",Learn More,https://www.udacity.com/course/configuring-linux-web-servers--ud299,https://www.udacity.com/course/intro-to-programming-nanodegree--nd000,Introduction to Programming
How to Make an iOS App,School of Programming & Development,advanced,"iOS, Ideation and Research, UI, App Store","Learn the process of building an app, taking your ideas from drawing board to App Store!Learn More",https://www.udacity.com/course/how-to-make-an-ios-app--ud607,https://www.udacity.com/course/intro-to-programming-nanodegree--nd000,Introduction to Programming
Intro to DevOps,School of Programming & Development,advanced,"DevOps, CAMS principles, Continuous Integration, Delivery workflows","Learn all about the DevOps landscape, workflow, and a survey of the systems currently being used to support scalable software deployment.Learn More",https://www.udacity.com/course/intro-to-devops--ud611,https://www.udacity.com/course/intro-to-programming-nanodegree--nd000,Introduction to Programming
Google Maps APIs,School of Programming & Development,intermediate,"Google Maps APIs, Static Maps, Street View imagery, monitoring API usage",This course will introduce you to the content available through the Google Maps APIs through building a real-estate listings web application step-by-step.Learn More,https://www.udacity.com/course/google-maps-apis--ud864,https://www.udacity.com/course/intro-to-programming-nanodegree--nd000,Introduction to Programming
Passwordless Login Solutions for Android,School of Programming & Development,"",Facebook for Developers,Learn More,https://www.udacity.com/course/passwordless-login-solutions-for-android--ud357,https://www.udacity.com/course/android-kotlin-developer-nanodegree--nd940,Android Kotlin Developer
Mobile Design and Usability for Android,School of Programming & Development,intermediate,"Android, Mobile Design, Usability","In this course, taught in collaboration with Facebook, you'll learn how to design an intuitive, user-centered mobile app, from product conception to release.Learn More",https://www.udacity.com/course/mobile-design-and-usability-for-android--ud358,https://www.udacity.com/course/android-kotlin-developer-nanodegree--nd940,Android Kotlin Developer
Intro to Psychology,School of Programming & Development,beginner,"Pyschology, Research Methods, Biology",Go on a journey through psychological concepts and principles to enable you to gain a more in-depth understanding of human thought and behavior.Learn More,https://www.udacity.com/course/intro-to-psychology--ps001,https://www.udacity.com/course/ux-designer-nanodegree--nd578,UX Designer
Engagement & Monetization | Mobile Games,School of Programming & Development,beginner,"Game Development, Monetization, Engagement","You will learn the most effective monetization strategies for your game, how to  keep your players interested and engaged, so that your game stands out in the app store.Learn More",https://www.udacity.com/course/engagement-monetization-mobile-games--ud407,https://www.udacity.com/course/android-kotlin-developer-nanodegree--nd940,Android Kotlin Developer
Material Design for Android Developers,School of Programming & Development,intermediate,"Android Development, Material Design, Surfaces, Graphic Design",Learn and apply the material design principles that define Android's visual language to your apps.Learn More,https://www.udacity.com/course/material-design-for-android-developers--ud862,https://www.udacity.com/course/android-kotlin-developer-nanodegree--nd940,Android Kotlin Developer
Intro to Data Science,School of Data Science,intermediate,"Data Analysis Process, pandas (Python package), MapReduce paradigm","What does a data scientist do? In this course, we will survey the main topics in data science so you can understand the skills that are needed to become a data scientist!Learn More",https://www.udacity.com/course/intro-to-data-science--ud359,https://www.udacity.com/course/intro-to-programming-nanodegree--nd000,Introduction to Programming
Intro to Data Analysis,School of Data Science,beginner,"Data Analysis, Python, numpy, pandas","Explore a variety of datasets, posing and answering your own questions about each. You'll be using the Python libraries NumPy, Pandas, and Matplotlib.Learn More",https://www.udacity.com/course/intro-to-data-analysis--ud170,https://www.udacity.com/course/intro-to-programming-nanodegree--nd000,Introduction to Programming
SQL for Data Analysis,School of Data Science,beginner,Mode,Learn to use Structured Query Language (SQL) to extract and analyze data stored in databasesLearn More,https://www.udacity.com/course/sql-for-data-analysis--ud198,https://www.udacity.com/course/business-analytics-nanodegree--nd098,Business Analytics
Intro to Inferential Statistics,School of Data Science,beginner,"Inferential Statistics, Hypothesis Testing, T-tests, ANOVA",Intro to Inferential Statistics will teach you how to test your hypotheses and begin to make predictions based on statistical results drawn from data!Learn More,https://www.udacity.com/course/intro-to-inferential-statistics--ud201,https://www.udacity.com/course/digital-marketing-nanodegree--nd018,Digital Marketing
Spark,School of Data Science,intermediate,"Spark, SparkSQL, Spark Dataframes, Data Wrangling, Machine Learning",Master how to work with big data and build machine learning models at scale using Spark!Learn More,https://www.udacity.com/course/learn-spark-at-udacity--ud2002,https://www.udacity.com/course/data-scientist-nanodegree--nd025,Data Scientist
Data Analysis and Visualization,School of Data Science,intermediate,"R, Data Analysis, Data Visualization, Regression","This course will introduce students to the field by covering state­-of-­the-art modeling, analysis and visualization techniques.Learn More",https://www.udacity.com/course/data-analysis-and-visualization--ud404,https://www.udacity.com/course/data-analyst-nanodegree--nd002,Data Analyst
Rapid Prototyping,School of Business,intermediate,"Prototyping, User Research, inVision",Learning to prototype will save you time and money in the development process. You’ll create quality apps faster and have confidence in the viability of your products.Learn More,https://www.udacity.com/course/rapid-prototyping--ud723,https://www.udacity.com/course/intro-to-programming-nanodegree--nd000,Introduction to Programming
Creating an Analytical Dataset,School of Business,beginner,"Data Issues, Data Formatting, Data Blending",Learn how to prepare data to ensure the efficacy of your analysis while improving fluency in Alteryx.Learn More,https://www.udacity.com/course/creating-an-analytical-dataset--ud977,https://www.udacity.com/course/intro-to-programming-nanodegree--nd000,Introduction to Programming
Problem Solving with Advanced Analytics,School of Business,beginner,Linear Regression,"Learn a scientific approach to solving problems with data, a foundational skill for anyone interested in making data driven decisions in a business context.Learn More",https://www.udacity.com/course/problem-solving-with-advanced-analytics--ud976,https://www.udacity.com/course/intro-to-programming-nanodegree--nd000,Introduction to Programming
Classification Models,School of Business,intermediate,"Binary Classication Models, Non-Binary Classification Models",Learn how to use classification predictive models to solve business problems involving non-numeric data.Learn More,https://www.udacity.com/course/classification-models--ud978,https://www.udacity.com/course/intro-to-programming-nanodegree--nd000,Introduction to Programming
Product Design,School of Business,intermediate,"Product Design, Design Sprints, Ideation and Validation, UI/UX","Learn product validation, UI/UX practices, Google’s Design Sprint and the process for setting and tracking actionable metrics.Learn More",https://www.udacity.com/course/product-design--ud509,https://www.udacity.com/course/react-nanodegree--nd019,React
Segmentation and Clustering,School of Business,intermediate,"Variable Reduction, Clustering Models design",The Segmentation & Clustering course provides students with the knowledge to build and apply clustering models to develop sophisticated segmentation in business contexts.Learn More,https://www.udacity.com/course/segmentation-and-clustering--ud981,https://www.udacity.com/course/intro-to-programming-nanodegree--nd000,Introduction to Programming
Time Series Forecasting,School of Business,intermediate,"Time Series Forecasting, ETS Models, ARIMA Models",The Time Series Forecasting course provides students with the foundational knowledge to build and apply time series forecasting models in a variety of business contexts.Learn More,https://www.udacity.com/course/time-series-forecasting--ud980,https://www.udacity.com/course/intro-to-programming-nanodegree--nd000,Introduction to Programming
App Marketing,School of Business,intermediate,"App Marketing, User Segmentation, Customer Acquisition","This course will help you organize a strategy of identifying your perfect user, and teach you how to grow your user base by focusing your product on their needs.Learn More",https://www.udacity.com/course/app-marketing--ud719,https://www.udacity.com/course/intro-to-programming-nanodegree--nd000,Introduction to Programming
App Monetization,School of Business,intermediate,"Product Design, Google Analytics","Learn how to effectively develop, implement, and measure your monetization strategy, iterating on the model as appropriate.Learn More",https://www.udacity.com/course/app-monetization--ud518,https://www.udacity.com/course/intro-to-programming-nanodegree--nd000,Introduction to Programming
A/B Testing for Business Analysts,School of Business,intermediate,"A/B Randomized Design Tests, A/B Matched Pair Design Tests",The A/B Testing course provides students with the foundational knowledge to design and analyze A/B tests to create business insights and support decision making.Learn More,https://www.udacity.com/course/ab-testing--ud979,https://www.udacity.com/course/intro-to-programming-nanodegree--nd000,Introduction to Programming
How to Build a Startup,School of Business,intermediate,"Entrepreneurship, Value Proposition, Revenue Models, Customer Segments","Learn what it takes to build a successful startup using the Customer Development process, where entrepreneurs """"get out of the building"""" to gather and iterate on feedback.Learn More",https://www.udacity.com/course/how-to-build-a-startup--ep245,https://www.udacity.com/course/react-nanodegree--nd019,React
Get Your Startup Started,School of Business,intermediate,"Entrepreneurship, Bootstrapping",Acquire the know-how necessary to see your business grow towards its next milestone.Learn More,https://www.udacity.com/course/get-your-startup-started--ud806,https://www.udacity.com/course/intro-to-programming-nanodegree--nd000,Introduction to Programming
Managing Remote Teams with Upwork,School of Business,beginner,"Team Management, Workforce Training, Business Strategy, Agile Management, Remote Work",Bring your remote-teams to the next level with hands-on skills to manage your remote workforce effectively.Learn More,https://www.udacity.com/course/managing-remote-teams-with-upwork--ud942,https://www.udacity.com/course/product-manager-nanodegree--nd036,Product Manager
Hybrid Cloud Fundamentals,School of Cloud Computing,intermediate,"Hybrid Cloud, Nutanix, Hyperconverged Infrastructure, Prism web console, Private Cloud, Virtual Machine",Dive into the role of a hybrid cloud engineer and learn how to use Nutanix's Hyperconverged Infrastructure (HCI) software to configure the different components of a private cloud cluster.Learn More,https://www.udacity.com/course/hybrid-cloud-fundamentals--ud0321,https://www.udacity.com/course/hybrid-cloud-engineer-nanodegree--nd321,Hybrid Cloud Engineer
Intro to Cloud Computing,School of Cloud Computing,beginner,"Cloud Computing,  AWS Console,  Compute Services,  Serverless Architecture,  Cloud Databases","This free course will equip you with the foundational skills you need to pursue a career in cloud computing. The course covers fundamental cloud computing principles and features hands-on practice using AWS, the leading cloud service provider.Learn More",https://www.udacity.com/course/intro-to-cloud-computing--ud080,https://www.udacity.com/course/cloud-developer-nanodegree--nd9990,Cloud Developer
Cyber-Physical Systems Design & Analysis,School of Autonomous Systems,advanced,Georgia Institute of Technology,This course provides an introduction to cyber-physical systems with an industrial perspective.Learn More,https://www.udacity.com/course/cyber-physical-systems-design-analysis--ud9876,https://www.udacity.com/course/ios-developer-nanodegree--nd003,iOS Developer
Differential Equations in Action,School of Autonomous Systems,intermediate,"Math, Differential Equations","Write Python code to find numerical solutions to systems of differential equations. The models you create will fight wildfires, bring spaceships back to earth, and more!Learn More",https://www.udacity.com/course/differential-equations-in-action--cs222,https://www.udacity.com/course/intro-to-programming-nanodegree--nd000,Introduction to Programming
Self-Driving Fundamentals: Featuring Apollo,School of Autonomous Systems,beginner,"Apollo HD Map, Localization, Perception, Prediction, Planning, Control","Identify key parts of self-driving cars, utilize Apollo HD Map, localization, perception, prediction, planning and control, and start the learning path of building a self-driving car. Learn More",https://www.udacity.com/course/self-driving-car-fundamentals-featuring-apollo--ud0419,https://www.udacity.com/course/intro-to-self-driving-cars--nd113,Intro to Self-Driving Cars
Linear Algebra Refresher Course,School of Artificial Intelligence,intermediate,"Algebra, Python, Vectors, Intersections",Learn linear algebra by doing: you will code your own library of linear algebra functions!Learn More,https://www.udacity.com/course/linear-algebra-refresher-course--ud953,https://www.udacity.com/course/intro-to-self-driving-cars--nd113,Intro to Self-Driving Cars
Machine Learning: Unsupervised Learning,School of Artificial Intelligence,intermediate,"Randomized Optimization, Clustering, Feature Selection, Feature Transformation, Information Theory",Ever wonder how Netflix can predict what movies you'll like? Or how Amazon knows what you want to buy before you do? The answer can be found in Unsupervised Learning!Learn More,https://www.udacity.com/course/machine-learning-unsupervised-learning--ud741,https://www.udacity.com/course/intro-to-programming-nanodegree--nd000,Introduction to Programming
Big Data Analytics in Healthcare,School of Artificial Intelligence,intermediate,"Data Analytics, Health Care Applications, Algorithms","In this course, we introduce the characteristics of medical data and associated data mining challenges on dealing with such data. We cover various algorithms and systems.Learn More",https://www.udacity.com/course/big-data-analytics-in-healthcare--ud758,https://www.udacity.com/course/flying-car-nanodegree--nd787,Flying Car and Autonomous Flight Engineer
Intro to Descriptive Statistics,School of Artificial Intelligence,beginner,"Descriptive Statistics, Estimation, Central Limit Theorem",Intro to Descriptive Statistics will teach you the basic concepts of statistics that can be used to extract information from data.Learn More,https://www.udacity.com/course/intro-to-descriptive-statistics--ud827,https://www.udacity.com/course/data-analyst-nanodegree--nd002,Data Analyst
Intel® Edge AI Fundamentals with OpenVINO™,School of Artificial Intelligence,intermediate,"Edge AI, Intel OpenVINO, Computer Vision, Deep Learning",Stay at the cutting-edge of AI technology by gaining practical skills for deploying edge AI. Learn how to use the Intel Distribution of OpenVINO toolkit to deploy computer vision capabilities inside a range of edge applications.Learn More,https://www.udacity.com/course/intel-edge-AI-fundamentals-with-openvino--ud132,https://www.udacity.com/course/intel-edge-ai-for-iot-developers-nanodegree--nd131,Intel® Edge AI for IoT Developers
Artificial Intelligence,School of Artificial Intelligence,intermediate,"Artificial Intelligence, Probability, Bayesian Networks, Logic and Planning, Machine Learning","This course gives a survey of topics in AI along with in-depth foundational concepts such as classical search, probability, machine learning, logic and planning.Learn More",https://www.udacity.com/course/artificial-intelligence--ud954,https://www.udacity.com/course/ai-artificial-intelligence-nanodegree--nd898,Artificial Intelligence
Secure and Private AI,School of Artificial Intelligence,advanced,Facebook AI,Learn how to extend PyTorch with the tools necessary to train AI models that preserve user privacy.Learn More,https://www.udacity.com/course/secure-and-private-ai--ud185,https://www.udacity.com/course/deep-learning-nanodegree--nd101,Deep Learning
Model Building and Validation,School of Artificial Intelligence,advanced,"Questioning, Modeling, Validation, Data Analysis, QMV Process",This course will teach you how to start from scratch in understanding and paying attention to what is important in the data and how to answer questions about data.Learn More,https://www.udacity.com/course/model-building-and-validation--ud919,https://www.udacity.com/course/intro-to-programming-nanodegree--nd000,Introduction to Programming
Data Visualization and D3.js,School of Artificial Intelligence,intermediate,"d3.js, Design of Visualizations, Data Visualization, Visual Encodings",Learn the fundamentals of data visualization and apply design and narrative concepts to create your own visualization.Learn More,https://www.udacity.com/course/data-visualization-and-d3js--ud507,https://www.udacity.com/course/intro-to-programming-nanodegree--nd000,Introduction to Programming
Machine Learning for Trading,School of Artificial Intelligence,intermediate,"Pandas, Time Series Analysis, Computational Investing, Algorithmic Trading, Reinforcement Learning for Trading",Implement machine learning based strategies to make trading decisions using real-world data.Learn More,https://www.udacity.com/course/machine-learning-for-trading--ud501,https://www.udacity.com/course/ai-for-trading--nd880,Artificial Intelligence for Trading
Machine Learning,School of Artificial Intelligence,intermediate,"Supervised Learning, Unsupervised Learning, Information Theory, Reinforcement Learning, Game Theory","In this course, you'll learn how to apply Supervised, Unsupervised and Reinforcement Learning techniques for solving a range of data science problems.Learn More",https://www.udacity.com/course/machine-learning--ud262,https://www.udacity.com/course/ai-for-trading--nd880,Artificial Intelligence for Trading
Intro to Hadoop and MapReduce,School of Artificial Intelligence,intermediate,"Big Data, Hadoop, MapReduce","In this short course, learn the fundamentals of MapReduce and Apache Hadoop to start making sense of Big Data in the real world!Learn More",https://www.udacity.com/course/intro-to-hadoop-and-mapreduce--ud617,https://www.udacity.com/course/intro-to-programming-nanodegree--nd000,Introduction to Programming
Real-Time Analytics with Apache Storm,School of Artificial Intelligence,intermediate,"Data Analysis, Real-time Analytics, Apache Storm","The world is trending in real time! Learn Apache Storm, taught by Twitter, to scalably analyze real-time tweets and drive d3 visualizations. Storm is free, open and fun!Learn More",https://www.udacity.com/course/real-time-analytics-with-apache-storm--ud381,https://www.udacity.com/course/intro-to-programming-nanodegree--nd000,Introduction to Programming
A/B Testing,School of Artificial Intelligence,"",Google,Learn More,https://www.udacity.com/course/ab-testing--ud257,https://www.udacity.com/course/intro-to-programming-nanodegree--nd000,Introduction to Programming
Data Analysis with R,School of Artificial Intelligence,intermediate,"R, Exploratory Data Analysis, Data Visualization",Data is everywhere and so much of it is unexplored. Learn how to investigate and summarize data sets using R and eventually create your own analysis.Learn More,https://www.udacity.com/course/data-analysis-with-r--ud651,https://www.udacity.com/course/intro-to-programming-nanodegree--nd000,Introduction to Programming
Knowledge-Based AI: Cognitive Systems,School of Artificial Intelligence,advanced,"Semantic Networks, Common-Sense Reasoning, Logic & Planning, Analogical Reasoning, Visuospatial Reasoning",The twin goals of knowledge-based artificial intelligence (AI) are to build AI agents capable of human-level intelligence and gain insights into human cognition.Learn More,https://www.udacity.com/course/knowledge-based-ai-cognitive-systems--ud409,https://www.udacity.com/course/flying-car-nanodegree--nd787,Flying Car and Autonomous Flight Engineer
Introduction to TensorFlow Lite,School of Artificial Intelligence,intermediate,"TensorFlow Lite, Deep Learning Models, Android, iOS, Linux",Learn how to deploy deep learning models on mobile and embedded devices with TensorFlow Lite.Learn More,https://www.udacity.com/course/intro-to-tensorflow-lite--ud190,https://www.udacity.com/course/deep-learning-nanodegree--nd101,Deep Learning
Introduction to Computer Vision,School of Artificial Intelligence,intermediate,"Image Processing, Stereo Geometry, Feature Detection & Matching, Object Tracking, Classification & Recognition","This course provides an introduction to computer vision including fundamentals, methods for application and machine learning classification.Learn More",https://www.udacity.com/course/introduction-to-computer-vision--ud810,https://www.udacity.com/course/deep-learning-nanodegree--nd101,Deep Learning
Intro to TensorFlow for Deep Learning,School of Artificial Intelligence,intermediate,TensorFlow,"Developed by Google and Udacity, this course teaches a practical approach to deep learning for software developers.Learn More",https://www.udacity.com/course/intro-to-tensorflow-for-deep-learning--ud187,https://www.udacity.com/course/machine-learning-engineer-nanodegree--nd009t,Machine Learning Engineer
Eigenvectors and Eigenvalues,School of Artificial Intelligence,beginner,"Linear Algebra, Eigenvectors, Eigenvalues",Learn how to calculate eigenvalues and eigenvectors and why they are important for AI applications.Learn More,https://www.udacity.com/course/eigenvectors-and-eigenvalues--ud104,https://www.udacity.com/course/intro-to-programming-nanodegree--nd000,Introduction to Programming
Intro to Artificial Intelligence,School of Artificial Intelligence,intermediate,"Artificial Intelligence, Machine Learning, Probability, Logic and Planning, Markov models","This course will introduce you to the basics of AI. Topics include machine learning, probabilistic reasoning, robotics, computer vision, and natural language processing.Learn More",https://www.udacity.com/course/intro-to-artificial-intelligence--cs271,https://www.udacity.com/course/intro-to-programming-nanodegree--nd000,Introduction to Programming
