nd_course,nd_course_desc,nd_course_first_proj,nd_url,nd_name,school,difficulty
Leveraging Data in Iterative Product Design,"The best products adapt to market changes over time and are constantly being refined based on user feedback. With a robust data pipeline, the amount of data collected through product usage is extremely valuable to product managers for enhancing their products. Understand which data is best collected through quantitative versus qualitative methods, and how to interpret it. Learn how to apply chi-square tests to determine if results from data analysis are statistically significant. Utilize user data to create user personas that are actionable for development teams to translate into code and for building out user journey maps that describe the stages a user engages with the product along with the associated risks and opportunities. Extract insights from user journey maps to define KPIs of suggested product enhancements and design the relative hypotheses and experiments that are needed to prove the assumptions of product enhancements.",Create an Iterative Design Path,https://www.udacity.com/course/data-product-manager-nanodegree--nd030,Data Product Manager,School of Business,intermediate
Optimizing the Signup Flow,"Measure click-through percentage and drop-off percentage through the sign-up flow and remove unnecessary friction from the sign-up process. Then, propose experiments to run using the action, outcome, theory framework and apply the ICE framework to prioritize experiments.",,https://www.udacity.com/course/activation-and-retention-strategy--nd037-2,Activation and Retention Strategy,School of Business,intermediate
Defining the Activation Funnel,"Identify if the setup, aha, and habit moment and metric lead the user to long-term activation. Calculate the number and percentage of users activated through the funnel. Then, conduct different segment analysis to determine which type of audience performs well through the activation funnel.",,https://www.udacity.com/course/activation-and-retention-strategy--nd037-2,Activation and Retention Strategy,School of Business,intermediate
Conducting a Retention Cohort Analysis,"Increase engagement via use-case, frequency, intensity, and feature adoption. Determine casual, core and power users and create a retention chart to view average retention per cohort over time.",,https://www.udacity.com/course/activation-and-retention-strategy--nd037-2,Activation and Retention Strategy,School of Business,intermediate
Analyzing Impacts of Churn Rate Across the Business,"Map the different lifecycle state of users, resurrected, retained, dormant, and active users, and calculate their Lifetime Value (LTV) based on the Churn Rate of the user base. Then, propose experiments to improve activation and retention to control churn.",,https://www.udacity.com/course/activation-and-retention-strategy--nd037-2,Activation and Retention Strategy,School of Business,intermediate
Final Project: Let It Grow,"In this project, you will act as the growth product manager for productboard and Slack. At productboard, you will optimize the sign-up flow to ensure conversion of as many users as possible and remove any frictions along the way. 

At Slack, you will determine the activation funnel, create  a retention curve, and perform a churn analysis using the quantitative dataset provided. Lastly, you will
suggest experiments to optimize the sign-up flow, activation funnel, retention curve, and churn rate.",,https://www.udacity.com/course/activation-and-retention-strategy--nd037-2,Activation and Retention Strategy,School of Business,intermediate
Spring Boot Basics,Learn the fundamentals of Java while being introduced to a Spring Boot framework and associated integrations and plugins.,Build a Web-based Personal Storage Application,https://www.udacity.com/course/java-developer-nanodegree--nd035,Java Developer,School of Programming & Development,intermediate
Web Services and APIs,"Explore the differences between web services, APIs, and microservices. Develop REST and GraphQL APIs, and learn how to secure, consume, document, and test those APIs and web services.",Build the Back-end System for a Car Website,https://www.udacity.com/course/java-developer-nanodegree--nd035,Java Developer,School of Programming & Development,intermediate
Data Stores & Persistence,Build applications that read and write to relational databases using both the Java Persistence API (JPA) and SQL. Use standard design patterns to make your persistence layer easy to test and integrate with a Spring Boot application,Design the Data Model for a SaaS Application,https://www.udacity.com/course/java-developer-nanodegree--nd035,Java Developer,School of Programming & Development,intermediate
Security and DevOps,"Learn about Git, version control, and best practices for authorization and authentication. Use Jenkins to build a CI/CD pipeline to deploy code to production.",Implement Authorization for an eCommerce Application,https://www.udacity.com/course/java-developer-nanodegree--nd035,Java Developer,School of Programming & Development,intermediate
Foundations of Reinforcement Learning,Master the fundamentals of reinforcement learning by writing your own implementations of many classical solution methods.,,https://www.udacity.com/course/deep-reinforcement-learning-nanodegree--nd893,Deep Reinforcement Learning,School of Artificial Intelligence,advanced
Value-Based Methods,Apply deep learning architectures to reinforcement learning tasks. Train your own agent that navigates a virtual world from sensory data.,Navigation,https://www.udacity.com/course/deep-reinforcement-learning-nanodegree--nd893,Deep Reinforcement Learning,School of Artificial Intelligence,advanced
Policy-Based Methods,Learn the theory behind evolutionary algorithms and policy-gradient methods. Design your own algorithm to train a simulated robotic arm to reach target locations.,Continuous Control,https://www.udacity.com/course/deep-reinforcement-learning-nanodegree--nd893,Deep Reinforcement Learning,School of Artificial Intelligence,advanced
Multi-Agent Reinforcement Learning,"Learn how to apply reinforcement learning methods to applications that involve multiple, interacting agents. These techniques are used in a variety of applications, such as the coordination of autonomous vehicles.",Collaboration and Competition,https://www.udacity.com/course/deep-reinforcement-learning-nanodegree--nd893,Deep Reinforcement Learning,School of Artificial Intelligence,advanced
Cloud Foundations,"Learn the fundamentals of cloud computing while being introduced to compute power, security, storage, networking, messaging, and management services in the cloud.",Deploy a Static Website on AWS,https://www.udacity.com/course/cloud-dev-ops-nanodegree--nd9991,Cloud DevOps Engineer,School of Cloud Computing,intermediate
Deploy Infrastructure as Code (IAC),"In this course, you’ll learn how to deploy the underlying infrastructure components that provide security and services to our servers by writing scripts using CloudFormation,  AWS’ tool for Infrastructure as Code.  

You will use CloudFormation to deploy Infrastructure patterns that are used in the industry broadly and can be readily used to deploy any cloud application. Like in the real world, you will begin with initial business requirements that you will turn into Cloud Architecture Diagrams. Then you will deploy this architecture using CloudFormation.",Deploy a High-Availability Web App Using CloudFormation,https://www.udacity.com/course/cloud-dev-ops-nanodegree--nd9991,Cloud DevOps Engineer,School of Cloud Computing,intermediate
"Build CI/CD Pipelines, Monitoring & Logging",Learn how to stretch for Continuous Delivery as your “true north” while you build CI/CD systems that automate the “stuff” between developers and the cloud. You’ll gain essential knowledge and put it into practice as you learn about Continuous Integration and Continuous Deployment. You’ll combine your existing knowledge of Cloud Formation and AWS with new tools like Ansible and Circle CI. You’ll also learn how to keep an eye on your deployments with proactive monitoring and alerting.,Build an automated CI/CD Pipeline for UdaPeople,https://www.udacity.com/course/cloud-dev-ops-nanodegree--nd9991,Cloud DevOps Engineer,School of Cloud Computing,intermediate
Microservices at Scale using Kubernetes,"In this course, you learn to create and deploy a kubernetes cluster, configure kubernetes autoscale and load test a kubernetes application.  You’ll learn to operationalize both existing and new microservices and apply containers best practices.  You’ll learn to deploy Machine Learning microservices that are elastic and fault tolerant.  You’ll learn to pick the appropriate abstraction for microservices:  Serverless (AWS Lambda) or Container Orchestration (Kubernetes).",Operationalize a Machine Learning Microservice API,https://www.udacity.com/course/cloud-dev-ops-nanodegree--nd9991,Cloud DevOps Engineer,School of Cloud Computing,intermediate
Welcome to the Nanodegree,"Learn what to expect in the classroom, get familiar with programming in Swift, and download Xcode, Apple's development environment for iOS.",,https://www.udacity.com/course/ios-developer-nanodegree--nd003,iOS Developer,School of Programming & Development,intermediate
Learn Swift Programming,"Learn the basics of Swift, the programming language used to develop iOS apps.",,https://www.udacity.com/course/ios-developer-nanodegree--nd003,iOS Developer,School of Programming & Development,intermediate
Intro to iOS App Development with Swift,"Build your first app with Swift and Xcode, Apple’s programming environment for app development. You’ll learn how to use AutoLayout, UIButtons, and UILabels to create an interface, and how to react to touch events in an app using ViewController and multiple views. You’ll also learn how to set up audio recording and playback in a voice recording app.",Pitch Perfect,https://www.udacity.com/course/ios-developer-nanodegree--nd003,iOS Developer,School of Programming & Development,intermediate
UIKit Fundamentals,"Develop an app with UIKit, Apple’s front-end framework for developing fast and powerful web interfaces. Learn about the delegate pattern to make connections between the app’s model, view, and controller, and add table views and navigation to your app.","MemeMe, Part 1",https://www.udacity.com/course/ios-developer-nanodegree--nd003,iOS Developer,School of Programming & Development,intermediate
Network Requests and GCD,"Incorporate networking into your apps, and harness the power of APIs to display images and retrieve data. Use Apple’s Grand Central Dispatch, or GCD, framework to create asynchronous apps, ensuring a smooth user experience, even while your apps run lengthy operations in the background.",On the Map,https://www.udacity.com/course/ios-developer-nanodegree--nd003,iOS Developer,School of Programming & Development,intermediate
Data Persistence,"Learn about simple persistence, the iOS File System, and the “sandbox.” Set up the classes we need to get Core Data up and running so that we can create, save, and delete model objects. Enable user interfaces to reactively update whenever the model changes, and safely migrate user data between versions.",Virtual Tourist,https://www.udacity.com/course/ios-developer-nanodegree--nd003,iOS Developer,School of Programming & Development,intermediate
Final Project,"This is your chance to let your iOS Developer skills shine! For this final project, you'll design and build your own iOS app, taking the design from the drawing board to the App Store.",You Decide! (Capstone Project),https://www.udacity.com/course/ios-developer-nanodegree--nd003,iOS Developer,School of Programming & Development,intermediate
Blockchain Fundamentals,Learn the basics of how the blockchain data model works by creating your own private blockchain using Node.js and Leveldb.,Create Your Own Private Blockchain,https://www.udacity.com/course/blockchain-developer-nanodegree--nd1309,Blockchain Developer,School of Programming & Development,intermediate
"Ethereum Smart Contracts, Tokens and Dapps",Advance your blockchain skillset to the second generation of blockchain services with smart contracts utilizing the Ethereum network.,Build CryptoStar Dapp on Ethereum,https://www.udacity.com/course/blockchain-developer-nanodegree--nd1309,Blockchain Developer,School of Programming & Development,intermediate
Blockchain Architecture,"Learn blockchain architecture and advanced concepts such as privacy, security and decentralized file management.",Ethereum Dapp for Tracking Items through Supply Chain,https://www.udacity.com/course/blockchain-developer-nanodegree--nd1309,Blockchain Developer,School of Programming & Development,intermediate
Dapp with autonomous smart contracts and oracles,"Advance your blockchain skill set by developing a decentralized application (Dapp) that will perform actions based on external triggers, and handle payments.",Flight Delay Insurance Dapp,https://www.udacity.com/course/blockchain-developer-nanodegree--nd1309,Blockchain Developer,School of Programming & Development,intermediate
Capstone,"For your capstone project, you’ll use all the new skills you’ve acquired to build decentralized property listing application.",Capstone,https://www.udacity.com/course/blockchain-developer-nanodegree--nd1309,Blockchain Developer,School of Programming & Development,intermediate
React Fundamentals,"By learning React's component model, you'll be able to write declarative, composable user interfaces to build production-ready apps.",MyReads,https://www.udacity.com/course/react-nanodegree--nd019,React,School of Programming & Development,intermediate
React & Redux,"When your app's state becomes difficult to maintain, it's time to add Redux! By learning Redux, you'll manage complicated state to build enterprise-level apps.",Would You Rather,https://www.udacity.com/course/react-nanodegree--nd019,React,School of Programming & Development,intermediate
React Native,"You already use React to build your web apps. Now, using React Native, you’ll be able to develop React applications that run on both iOS and Android devices.",Mobile Flashcards,https://www.udacity.com/course/react-nanodegree--nd019,React,School of Programming & Development,intermediate
Cloud Foundations,"Learn the fundamentals of cloud computing while being introduced to compute power, security, storage, networking, messaging, and management services in the cloud.",Deploy a Static Website on AWS,https://www.udacity.com/course/cloud-developer-nanodegree--nd9990,Cloud Developer,School of Cloud Computing,intermediate
Full Stack Apps on AWS,"Design and deploy scalable, extendable, and maintainable full stack applications using modern cloud architecture.",Udagram: Your Own Instagram on AWS,https://www.udacity.com/course/cloud-developer-nanodegree--nd9990,Cloud Developer,School of Cloud Computing,intermediate
Monolith to Microservices at Scale,"Learn best practices on how to develop and deploy microservices, with a focus on different microservice architecture patterns, independent scaling, resiliency, securing microservices, and best practices for monitoring and logging.",Refactor Monolith to Microservices and Deploy,https://www.udacity.com/course/cloud-developer-nanodegree--nd9990,Cloud Developer,School of Cloud Computing,intermediate
Develop and Deploy a Serverless App,Learn both the theory of using serverless technologies with the practice of developing a complex serverless application and focuses on learning by doing. You will learn advanced serverless features such as implementing WebSockets and stream processing.,Serverless Applications,https://www.udacity.com/course/cloud-developer-nanodegree--nd9990,Cloud Developer,School of Cloud Computing,intermediate
Introduction to Computer Vision,"Master computer vision and image processing essentials. Learn to extract important features from image data, and apply deep learning techniques to classification tasks.",Facial Keypoint Detection,https://www.udacity.com/course/computer-vision-nanodegree--nd891,Computer Vision,School of Artificial Intelligence,advanced
Advanced Computer Vision and Deep Learning,Learn to apply deep learning architectures to computer vision tasks. Discover how to combine CNN and RNN networks to build an automatic image captioning application.,Automatic Image Captioning,https://www.udacity.com/course/computer-vision-nanodegree--nd891,Computer Vision,School of Artificial Intelligence,advanced
Object Tracking and Localization,"Learn how to locate an object and track it over time. These techniques are used in a variety of moving systems, such as self-driving car navigation and drone flight.",Landmark Detection & Tracking,https://www.udacity.com/course/computer-vision-nanodegree--nd891,Computer Vision,School of Artificial Intelligence,advanced
Foundations of Data Streaming,"Learn the fundamentals of stream processing, including how to work with the Apache Kafka ecosystem, data schemas, ApacheAvro, Kafka Connect and REST proxy, KSQL, and Faust Stream Processing.",Optimize Chicago Public Transit,https://www.udacity.com/course/data-streaming-nanodegree--nd029,Data Streaming,School of Data Science,advanced
Streaming API Development and Documentation,"The goal of this course is to grow your expertise in the components of streaming data systems, and build a real time analytics application. Specifically, you will be able to identify components of Spark Streaming (architecture and API), build a continuous application with Structured Streaming, consume and process data from Apache Kafka with Spark Structured Streaming (including setting up and running a Spark Cluster), create a DataFrame as an aggregation of source DataFrames, sink a composite DataFrame to Kafka, and visually inspect a data sink for accuracy.",Evaluate Human Balance with Spark Streaming,https://www.udacity.com/course/data-streaming-nanodegree--nd029,Data Streaming,School of Data Science,advanced
Bayesian Thinking,"Learn the framework that underlies a self-driving car’s understanding of itself and the world around it, and to see the world the way a self-driving car does.",Joy Ride,https://www.udacity.com/course/intro-to-self-driving-cars--nd113,Intro to Self-Driving Cars,School of Autonomous Systems,intermediate
Working with Matrices,This course will focus on two tools which are vital to self-driving car engineers: object oriented programming and linear algebra.,Implement a Matrix Class,https://www.udacity.com/course/intro-to-self-driving-cars--nd113,Intro to Self-Driving Cars,School of Autonomous Systems,intermediate
C++ Basics,"This course is the first step in a rewarding journey towards C++ expertise. The goal is translation: get a program written in Python, and translate it into C++.",Translate Python to C++,https://www.udacity.com/course/intro-to-self-driving-cars--nd113,Intro to Self-Driving Cars,School of Autonomous Systems,intermediate
Performance Programming in C++,"Explore how to write good code that runs correctly. We’ll focus primarily on low level features of C++, but we’ll discuss other best practices as well.",Performant C++,https://www.udacity.com/course/intro-to-self-driving-cars--nd113,Intro to Self-Driving Cars,School of Autonomous Systems,intermediate
Navigating Complex Data Structures,Algorithmic thinking is a skill you’ll refine throughout your career. In this course you’ll focus on frequently used data structures and algorithms.,Planning an Optimal Path,https://www.udacity.com/course/intro-to-self-driving-cars--nd113,Intro to Self-Driving Cars,School of Autonomous Systems,intermediate
Visualizing Calculus and Controls,In this course you’ll learn basic calculus—the mathematics of continuity. You’ll also learn to use some of Python’s most popular visualization libraries.,Trajectory Visualizer,https://www.udacity.com/course/intro-to-self-driving-cars--nd113,Intro to Self-Driving Cars,School of Autonomous Systems,intermediate
Machine Learning and Computer Vision,"In this course you’ll learn how a computer sees an image, and how we can use machine learning to teach a computer to identify images programmatically.",Image Classifier from Scratch,https://www.udacity.com/course/intro-to-self-driving-cars--nd113,Intro to Self-Driving Cars,School of Autonomous Systems,intermediate
Supervised Learning,"In this lesson, you will learn about supervised learning, a common class of methods for model construction.",Find Donors for CharityML,https://www.udacity.com/course/intro-to-machine-learning-nanodegree--nd229,Intro to Machine Learning with PyTorch,School of Artificial Intelligence,intermediate
Deep Learning,"In this lesson, you’ll learn the foundations of neural network design and training in PyTorch.",Build an Image Classifier,https://www.udacity.com/course/intro-to-machine-learning-nanodegree--nd229,Intro to Machine Learning with PyTorch,School of Artificial Intelligence,intermediate
Unsupervised Learning,"In this lesson, you will learn to implement unsupervised learning methods for different kinds of problem domains.",Create Customer Segments,https://www.udacity.com/course/intro-to-machine-learning-nanodegree--nd229,Intro to Machine Learning with PyTorch,School of Artificial Intelligence,intermediate
Lidar,"Process raw lidar data with filtering, segmentation, and clustering to detect other vehicles on the road.",Lidar Obstacle Detection,https://www.udacity.com/course/sensor-fusion-engineer-nanodegree--nd313,Sensor Fusion Engineer,School of Autonomous Systems,advanced
Radar,"Analyze radar signatures to detect and track objects. Calculate velocity and orientation by correcting for radial velocity distortions, noise, and occlusions.",Radar Obstacle Detection,https://www.udacity.com/course/sensor-fusion-engineer-nanodegree--nd313,Sensor Fusion Engineer,School of Autonomous Systems,advanced
Cameras,"Fuse camera images together with lidar point cloud data. You'll extract object features, classify objects, and project the camera image into three dimensions to fuse with lidar data.",Camera and Lidar Fusion,https://www.udacity.com/course/sensor-fusion-engineer-nanodegree--nd313,Sensor Fusion Engineer,School of Autonomous Systems,advanced
Kalman Filters,"Fuse data from multiple sources using Kalman filters, and build extended and unscented Kalman filters for tracking nonlinear movement.",Unscented Kalman Filters,https://www.udacity.com/course/sensor-fusion-engineer-nanodegree--nd313,Sensor Fusion Engineer,School of Autonomous Systems,advanced
Introduction to Natural Language Processing,"Learn text processing fundamentals, including stemming and lemmatization. Explore machine learning methods in sentiment analysis. Build a speech tagging model.",Part of Speech Tagging,https://www.udacity.com/course/natural-language-processing-nanodegree--nd892,Natural Language Processing,School of Artificial Intelligence,advanced
Computing with Natural Language,"Learn advanced techniques like word embeddings, deep learning attention, and more. Build a machine translation model using recurrent neural network architectures.",Machine Translation,https://www.udacity.com/course/natural-language-processing-nanodegree--nd892,Natural Language Processing,School of Artificial Intelligence,advanced
Communicating with Natural Language,Learn voice user interface techniques that turn speech into text and vice versa. Build a speech recognition model using deep neural networks.,Speech Recognizer,https://www.udacity.com/course/natural-language-processing-nanodegree--nd892,Natural Language Processing,School of Artificial Intelligence,advanced
Introduction to AI in Business,"Gain foundational knowledge of AI and machine learning, how to develop a business case for an AI application, and how and when to use AI in a product.",,https://www.udacity.com/course/ai-product-manager-nanodegree--nd088,AI Product Manager,School of Artificial Intelligence,beginner
Creating a Dataset,"A high-quality training data set is essential for machine learning models. Learn how to create a high-quality dataset, including how well the data fits a particular use case.",Create a Medical Image Annotation Data Set with Appen,https://www.udacity.com/course/ai-product-manager-nanodegree--nd088,AI Product Manager,School of Artificial Intelligence,beginner
Building a Model,Learn how a neural network produces a decision and how “training” works. You’ll also learn how to use training data and how to evaluate the results of a model.,Build a Model with Google AutoML,https://www.udacity.com/course/ai-product-manager-nanodegree--nd088,AI Product Manager,School of Artificial Intelligence,beginner
Measuring Impact and Updating Models,"Learn how to measure post-deployment impact, and how to make data-informed improvements on your model. You’ll also learn how to avoid unwanted bias, ensure security and compliance, and how to scale your product.",Capstone Project,https://www.udacity.com/course/ai-product-manager-nanodegree--nd088,AI Product Manager,School of Artificial Intelligence,beginner
Constraint Satisfaction Problems,Use constraint propagation and search to build an agent that reasons like a human would to efficiently solve any Sudoku puzzle.,Build a Sudoku Solver,https://www.udacity.com/course/ai-artificial-intelligence-nanodegree--nd898,Artificial Intelligence,School of Artificial Intelligence,advanced
Constraint Satisfaction Problems,Use constraint propagation and search to build an agent that reasons like a human would to efficiently solve any Sudoku puzzle.,Build a Sudoku Solver,https://www.udacity.com/course/ai-artificial-intelligence-nanodegree--nd898,Artificial Intelligence,School of Artificial Intelligence,intermediate
"Search, Optimization, and Planning",Build agents that can reason to achieve their goals using search and symbolic logic—like the NASA Mars rovers.,Build a Forward Planning Agent,https://www.udacity.com/course/ai-artificial-intelligence-nanodegree--nd898,Artificial Intelligence,School of Artificial Intelligence,advanced
"Search, Optimization, and Planning",Build agents that can reason to achieve their goals using search and symbolic logic—like the NASA Mars rovers.,Build a Forward Planning Agent,https://www.udacity.com/course/ai-artificial-intelligence-nanodegree--nd898,Artificial Intelligence,School of Artificial Intelligence,intermediate
Adversarial Search,"Extend classical search to adversarial domains, to build agents that make good decisions without any human intervention—such as the DeepMind AlphaGo agent.",Build an Adversarial Game Playing Agent,https://www.udacity.com/course/ai-artificial-intelligence-nanodegree--nd898,Artificial Intelligence,School of Artificial Intelligence,advanced
Adversarial Search,"Extend classical search to adversarial domains, to build agents that make good decisions without any human intervention—such as the DeepMind AlphaGo agent.",Build an Adversarial Game Playing Agent,https://www.udacity.com/course/ai-artificial-intelligence-nanodegree--nd898,Artificial Intelligence,School of Artificial Intelligence,intermediate
Fundamentals of Probabilistic Graphical Models,Model real-world uncertainty through probability to perform pattern recognition.,Part of Speech Tagging,https://www.udacity.com/course/ai-artificial-intelligence-nanodegree--nd898,Artificial Intelligence,School of Artificial Intelligence,advanced
Fundamentals of Probabilistic Graphical Models,Model real-world uncertainty through probability to perform pattern recognition.,Part of Speech Tagging,https://www.udacity.com/course/ai-artificial-intelligence-nanodegree--nd898,Artificial Intelligence,School of Artificial Intelligence,intermediate
Foundations of Agile and Agile Frameworks,"In this course, students will be introduced to The Agile Mindset and how it sets the tone for ""being"" Agile versus just ""doing"" Agile. Students will learn to leverage The Agile Manifesto as the foundation for all Agile Frameworks, identify the practical differences between Agile and Waterfall approaches, and master characteristics of three of the more popular Agile Frameworks being utilized across all industries: Scrum, Kanban and XP. Students  will then take a deep dive into Agile Teams and Governance and apply best practices of both in order to deliver immense business value.",WorldVisitz Mobile App Agile Delivery Launch,https://www.udacity.com/course/agile-software-development-nanodegree--nd144,Agile Software Development,School of Business,beginner
Delivering Value with Agile Planning and Prioritization,"The Agile approach to planning is an iterative process that focuses on delivering value to the customer. In this course, students will be introduced to the high level aspects of agile planning, including product vision and roadmaps. Students will also learn how to manage requirements at the tactical level, including gathering, writing, and prioritizing requirements using agile techniques from each of the major frameworks. Finally, students will learn different approaches to estimating work and how to build release and iteration plans that help the team continuously deliver value. At the end of the course, students will be equipped with the tools and techniques they need to apply Agile Planning and Prioritization within a team or organization to deliver value more efficiently.",Create an MVP Release Plan,https://www.udacity.com/course/agile-software-development-nanodegree--nd144,Agile Software Development,School of Business,beginner
"Progress, Communication, and Organizational Agility","In this course, students will learn how to communicate project progress and status through information radiators, guide and direct organizational agility through the use of metrics, and differentiate between patterns to mimic and anti-patterns to avoid. Students will also learn how to identify and mitigate risk, and build both internal and external communication strategies that work effectively for the relevant stakeholder audience.",Report Agile Project Status with a Big Visual Information Radiator,https://www.udacity.com/course/agile-software-development-nanodegree--nd144,Agile Software Development,School of Business,beginner
Introduction To Robotics,"Learn the essential elements of robotics, meet your instructors, and get familiar with the tools that will help you succeed in this program.",,https://www.udacity.com/course/robotics-software-engineer--nd209,Robotics Software Engineer,School of Autonomous Systems,advanced
Gazebo World,"Learn how to simulate your first robotic environment with Gazebo, the most common simulation engine used by Roboticists around the world.",Build My World,https://www.udacity.com/course/robotics-software-engineer--nd209,Robotics Software Engineer,School of Autonomous Systems,advanced
ROS Essentials,"Discover how ROS provides a flexible and unified software environment for developing robots in a modular and reusable manner. Learn how to manage existing ROS packages within a project, and how to write ROS Nodes of your own in C++.",Go Chase It!,https://www.udacity.com/course/robotics-software-engineer--nd209,Robotics Software Engineer,School of Autonomous Systems,advanced
Localization,"Learn how Gaussian filters can be used to estimate noisy sensor readings, and how to estimate a robot’s position relative to a known map of the environment with Monte Carlo Localization (MCL).",Where Am I?,https://www.udacity.com/course/robotics-software-engineer--nd209,Robotics Software Engineer,School of Autonomous Systems,advanced
Mapping and SLAM,Learn how to create a Simultaneous Localization and Mapping (SLAM) implementation with ROS packages and C++. You’ll achieve this by combining mapping algorithms with what you learned in the localization lessons.,Map My World,https://www.udacity.com/course/robotics-software-engineer--nd209,Robotics Software Engineer,School of Autonomous Systems,advanced
Path Planning and Navigation,"Learn different Path Planning and Navigation algorithms. Then, combine SLAM and Navigation into a home service robot that can autonomously transport objects in your home!",Home Service Robot,https://www.udacity.com/course/robotics-software-engineer--nd209,Robotics Software Engineer,School of Autonomous Systems,advanced
Applying AI to 2D Medical Imaging Data,"Learn the fundamental skills needed to work with 2D medical imaging data and how to use AI to derive clinically-relevant insights from data gathered via different types of 2D medical imaging such as x-ray, mammography, and digital pathology. Extract 2D images from DICOM files and apply the appropriate tools to perform exploratory data analysis on them. Build different AI models for different clinical scenarios that involve 2D images and learn how to position AI tools for regulatory approval.",Pneumonia Detection from Chest X-Rays,https://www.udacity.com/course/ai-for-healthcare-nanodegree--nd320,AI for Healthcare,School of Artificial Intelligence,advanced
Applying AI to 3D Medical Imaging Data,"Learn the fundamental skills needed to work with 3D medical imaging datasets and frame insights derived from the data in a clinically relevant context. Understand how these images are acquired, stored in clinical archives, and subsequently read and analyzed. Discover how clinicians use 3D medical images in practice and where AI holds most potential in their work with these images. Design and apply machine learning algorithms to solve the challenging problems in 3D medical imaging and how to integrate the algorithms into the clinical workflow.",Hippocampus Volume Quantification for Alzheimer's Progression,https://www.udacity.com/course/ai-for-healthcare-nanodegree--nd320,AI for Healthcare,School of Artificial Intelligence,advanced
Applying AI to EHR Data,"Learn the fundamental skills to work with EHR data and build and evaluate compliant, interpretable models. You will cover EHR data privacy and security standards, how to analyze EHR data and avoid common challenges, and cover key industry code sets. By the end of the course, you will have the skills to analyze an EHR dataset, transform it to the right level, build powerful features with TensorFlow, and model the uncertainty and bias with TensorFlow Probability and Aequitas.",Patient Selection for Diabetes Drug Testing,https://www.udacity.com/course/ai-for-healthcare-nanodegree--nd320,AI for Healthcare,School of Artificial Intelligence,advanced
Applying AI to Wearable Device Data,"Learn how to build algorithms that process the data collected by wearable devices and surface insights about the wearer’s health. Cover the sensors and signal processing foundation that are critical for success in this domain, including IMU, PPG, and ECG that are common to most wearable devices, and learn how to build three algorithms from real-world sensor data.",Motion Compensated Pulse Rate Estimation,https://www.udacity.com/course/ai-for-healthcare-nanodegree--nd320,AI for Healthcare,School of Artificial Intelligence,advanced
Cybersecurity Foundations,"This foundations course explains security fundamentals including core principles, critical security controls, and cybersecurity best practices.  Students will also evaluate specific security techniques used to administer a system that meets industry standards and core controls, assess high-level risks, vulnerabilities, and attack vectors of a sample system, and explain ways to establish and maintain the security of different types of computer systems.",Securing a Business Network,https://www.udacity.com/course/intro-to-cybersecurity-nanodegree--nd545,Introduction to Cybersecurity,School of Programming & Development,beginner
Defending and Securing Systems,"Gain exposure to a diverse group of technologies that will provide or enhance the skills needed to enter the cybersecurity field. You will apply best practices of Defense in Depth to secure computer systems, use outputs from security incidents to analyze and improve future network security, and search internal systems to determine network vulnerabilities. You'll also learn how to recommend mitigations to address common application vulnerabilities and ensure fundamental encryption techniques for securing data at rest and in transit.",Monitoring and Securing Douglas Financials Inc.,https://www.udacity.com/course/intro-to-cybersecurity-nanodegree--nd545,Introduction to Cybersecurity,School of Programming & Development,beginner
"Threats, Vulnerabilities, and Incident Response","During this course, you will learn how to identify security threats and gaps, fix issues, and respond to inevitable attacks. You'll be able to explain the relationship between threats, threat actors, vulnerabilities, and exploits, leverage the MITRE ATT&CK framework to understand attack methods, and distinguish events from incidents and recognize indicators of compromise.",Navigating a Cybersecurity Incident,https://www.udacity.com/course/intro-to-cybersecurity-nanodegree--nd545,Introduction to Cybersecurity,School of Programming & Development,beginner
"Governance, Risk, and Compliance","Cybersecurity Governance, Risk, and Compliance (GRC) has rapidly become a critical part of an effective cybersecurity strategy. In this course, students will learn about the functions of Governance, Risk, and Compliance and how each function operates alongside operational controls to strengthen an organization’s security. Students will also learn how to assess control effectiveness, measure security risk, and ensure that organizations are meeting security compliance objectives.",Create the SwiftTech GRC Program,https://www.udacity.com/course/intro-to-cybersecurity-nanodegree--nd545,Introduction to Cybersecurity,School of Programming & Development,beginner
Problem Solving with Advanced Analytics,"In this course, we give you a framework to help you organize and plan your analytical approach. We also introduce both simple Linear Regression and Multiple Linear Regression.",Predict Sales for a Catalog Launch,https://www.udacity.com/course/predictive-analytics-for-business-nanodegree--nd008,Predictive Analytics For Business,School of Business,beginner
Data Wrangling,"Data Wrangling is at the core of all data activity. In this course you learn how to work with different data types,dirty data, and outliers. You will also learn how to reformat data and join data from different sources together.",Create an Analytical Dataset,https://www.udacity.com/course/predictive-analytics-for-business-nanodegree--nd008,Predictive Analytics For Business,School of Business,beginner
Classification Models,"Classification models are a powerful tool for business analyst. In this course, you learn more about binary and non-binary classification models and how to use them to drive business insights.",Predict Loan Default Risk,https://www.udacity.com/course/predictive-analytics-for-business-nanodegree--nd008,Predictive Analytics For Business,School of Business,beginner
A/B Testing,"Helping businesses make the best decisions is an essential part of Business Analysis. Planning and executing the analysis of an AB test allow you to provide confident recommendations. In this course, you learn how to create, execute, and analyze an AB test.",A/B Test a Menu Launch,https://www.udacity.com/course/predictive-analytics-for-business-nanodegree--nd008,Predictive Analytics For Business,School of Business,beginner
